tc_id	swe1_id	field	placeholder	dr_token	source_anchor
NR1L-DIAG-027	SWE1-Diagnostics-340-002	expected_result	<Clock Defeat setting byte>	DR-DIAG-5	CFTS004-4939684
NR1L-DIAG-030	SWE1-Diagnostics-342	expected_result	<12/24 Time Selection setting byte>	DR-DIAG-5	CFTS004-4939687
NR1L-DIAG-031	SWE1-Diagnostics-342	test_procedure	<12/24 Time Selection setting byte>	DR-DIAG-5	CFTS004-4939687
NR1L-DIAG-031	SWE1-Diagnostics-342	expected_result	<12/24 Time Selection setting byte>	DR-DIAG-5	CFTS004-4939687
NR1L-DIAG-034	SWE1-Diagnostics-051	expected_result	<Aux input detect switch byte>	DR-DIAG-5	CFTS004-4939923
NR1L-DIAG-035	SWE1-Diagnostics-051	expected_result	<Aux input detect switch byte>	DR-DIAG-5	CFTS004-4939923
NR1L-DIAG-036	SWE1-Diagnostics-329	expected_result	<USB device count byte>	DR-DIAG-5	CFTS004-4939921
NR1L-DIAG-038	SWE1-Diagnostics-330	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939921
NR1L-DIAG-039	SWE1-Diagnostics-331	expected_result	<USB Hub count byte>	DR-DIAG-5	CFTS004-4939919
NR1L-DIAG-041	SWE1-Diagnostics-332	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939919
NR1L-DIAG-043	SWE1-Diagnostics-054	expected_result	<push button status record>	DR-DIAG-5	CFTS004-4939646
NR1L-DIAG-043	SWE1-Diagnostics-054	expected_result	<push button status record>	DR-DIAG-5	CFTS004-4939646
NR1L-DIAG-044	SWE1-Diagnostics-055	expected_result	<push button status record>	DR-DIAG-5	CFTS004-4939646
NR1L-DIAG-045	SWE1-Diagnostics-344	expected_result	<steering wheel button status record>	DR-DIAG-5	CFTS004-4939651
NR1L-DIAG-045	SWE1-Diagnostics-344	expected_result	<steering wheel button status record>	DR-DIAG-5	CFTS004-4939651
NR1L-DIAG-047	SWE1-Diagnostics-345	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939651
NR1L-DIAG-048	SWE1-Diagnostics-386	expected_result	<steering wheel button status record>	DR-DIAG-5	CFTS004-4939650
NR1L-DIAG-050	SWE1-Diagnostics-387	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939650
NR1L-DIAG-051	SWE1-Diagnostics-388	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939650
NR1L-DIAG-051	SWE1-Diagnostics-388	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939650
NR1L-DIAG-052	SWE1-Diagnostics-383	test_procedure	<test pattern byte>	DR-DIAG-5	CFTS004-4939625
NR1L-DIAG-052	SWE1-Diagnostics-383	expected_result	<test pattern byte>	DR-DIAG-5	CFTS004-4939625
NR1L-DIAG-055	SWE1-Diagnostics-385	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939626
NR1L-DIAG-055	SWE1-Diagnostics-385	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939626
NR1L-DIAG-056	SWE1-Diagnostics-050	expected_result	<Buzzer output status byte>	DR-DIAG-5	CFTS004-4939938
NR1L-DIAG-057	SWE1-Diagnostics-109	test_procedure	<buzzer control tone selection>	DR-DIAG-4	CFTS004-4940298
NR1L-DIAG-060	SWE1-Diagnostics-111	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940298
NR1L-DIAG-060	SWE1-Diagnostics-111	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940298
NR1L-DIAG-061	SWE1-Diagnostics-114	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940297
NR1L-DIAG-061	SWE1-Diagnostics-114	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940297
NR1L-DIAG-062	SWE1-Diagnostics-115	test_procedure	<tool-controlled tone selection>	DR-DIAG-4	CFTS004-4940296
NR1L-DIAG-065	SWE1-Diagnostics-117	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940296
NR1L-DIAG-065	SWE1-Diagnostics-117	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940296
NR1L-DIAG-066	SWE1-Diagnostics-118	test_procedure	<Tones Off option selection>	DR-DIAG-4	CFTS004-4940294
NR1L-DIAG-069	SWE1-Diagnostics-120	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940294
NR1L-DIAG-069	SWE1-Diagnostics-120	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940294
NR1L-DIAG-070	SWE1-Diagnostics-121	test_procedure	<7 kHz Tool controlled tone selection>	DR-DIAG-4	CFTS004-4940292
NR1L-DIAG-073	SWE1-Diagnostics-123	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940292
NR1L-DIAG-073	SWE1-Diagnostics-123	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940292
NR1L-DIAG-074	SWE1-Diagnostics-124	test_procedure	<7 kHz Radio controlled tone selection>	DR-DIAG-4	CFTS004-4940291
NR1L-DIAG-077	SWE1-Diagnostics-126	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940291
NR1L-DIAG-077	SWE1-Diagnostics-126	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940291
NR1L-DIAG-078	SWE1-Diagnostics-127	test_procedure	<60 Hz Tool controlled tone selection>	DR-DIAG-4	CFTS004-4940290
NR1L-DIAG-081	SWE1-Diagnostics-129	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940290
NR1L-DIAG-081	SWE1-Diagnostics-129	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940290
NR1L-DIAG-082	SWE1-Diagnostics-130	test_procedure	<60 Hz Radio controlled tone selection>	DR-DIAG-4	CFTS004-4940289
NR1L-DIAG-085	SWE1-Diagnostics-132	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940289
NR1L-DIAG-085	SWE1-Diagnostics-132	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940289
NR1L-DIAG-086	SWE1-Diagnostics-133	test_procedure	<200 Hz, 120 mV tone - Tool controlled tone selection>	DR-DIAG-4	CFTS004-4940285
NR1L-DIAG-089	SWE1-Diagnostics-135	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940285
NR1L-DIAG-089	SWE1-Diagnostics-135	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940285
NR1L-DIAG-090	SWE1-Diagnostics-136	test_procedure	<200 Hz Tool controlled tone selection>	DR-DIAG-4	CFTS004-4940288
NR1L-DIAG-093	SWE1-Diagnostics-138	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940288
NR1L-DIAG-093	SWE1-Diagnostics-138	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940288
NR1L-DIAG-094	SWE1-Diagnostics-139	test_procedure	<200 Hz Radio controlled tone selection>	DR-DIAG-4	CFTS004-4940287
NR1L-DIAG-097	SWE1-Diagnostics-141	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940287
NR1L-DIAG-097	SWE1-Diagnostics-141	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940287
NR1L-DIAG-098	SWE1-Diagnostics-142	test_procedure	<1 kHz, 120 mV tone - Tool controlled tone selection>	DR-DIAG-4	CFTS004-4940286
NR1L-DIAG-101	SWE1-Diagnostics-144	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940286
NR1L-DIAG-101	SWE1-Diagnostics-144	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940286
NR1L-DIAG-102	SWE1-Diagnostics-145	test_procedure	<radio-controlled tone selection>	DR-DIAG-4	CFTS004-4940294
NR1L-DIAG-102	SWE1-Diagnostics-145	test_procedure	<Tones Off option selection>	DR-DIAG-4	CFTS004-4940294
NR1L-DIAG-105	SWE1-Diagnostics-147	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940295
NR1L-DIAG-105	SWE1-Diagnostics-147	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940295
NR1L-DIAG-106	SWE1-Diagnostics-047	expected_result	<speaker quadrant byte>	DR-DIAG-5	CFTS004-4939941
NR1L-DIAG-108	SWE1-Diagnostics-048	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939942
NR1L-DIAG-110	SWE1-Diagnostics-091	test_procedure	<Rear Right speaker selection>	DR-DIAG-4	CFTS004-4940305
NR1L-DIAG-110	SWE1-Diagnostics-091	expected_result	<speaker quadrant byte>	DR-DIAG-5	CFTS004-4940305
NR1L-DIAG-113	SWE1-Diagnostics-093	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940305
NR1L-DIAG-113	SWE1-Diagnostics-093	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940305
NR1L-DIAG-114	SWE1-Diagnostics-094	test_procedure	<Rear Left speaker selection>	DR-DIAG-4	CFTS004-4940304
NR1L-DIAG-114	SWE1-Diagnostics-094	expected_result	<speaker quadrant byte>	DR-DIAG-5	CFTS004-4940304
NR1L-DIAG-117	SWE1-Diagnostics-096	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940304
NR1L-DIAG-117	SWE1-Diagnostics-096	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940304
NR1L-DIAG-121	SWE1-Diagnostics-100	test_procedure	<Front Right speaker selection>	DR-DIAG-4	CFTS004-4940303
NR1L-DIAG-121	SWE1-Diagnostics-100	expected_result	<speaker quadrant byte>	DR-DIAG-5	CFTS004-4940303
NR1L-DIAG-124	SWE1-Diagnostics-102	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940303
NR1L-DIAG-124	SWE1-Diagnostics-102	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940303
NR1L-DIAG-125	SWE1-Diagnostics-103	test_procedure	<Front Left speaker selection>	DR-DIAG-4	CFTS004-4940302
NR1L-DIAG-125	SWE1-Diagnostics-103	expected_result	<speaker quadrant byte>	DR-DIAG-5	CFTS004-4940302
NR1L-DIAG-128	SWE1-Diagnostics-105	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940302
NR1L-DIAG-128	SWE1-Diagnostics-105	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940302
NR1L-DIAG-118	SWE1-Diagnostics-097	test_procedure	<speaker output selection>	DR-DIAG-4	CFTS004-4940297
NR1L-DIAG-129	SWE1-Diagnostics-099	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940300
NR1L-DIAG-129	SWE1-Diagnostics-099	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940300
NR1L-DIAG-130	SWE1-Diagnostics-106	test_procedure	<speaker output selection>	DR-DIAG-4	CFTS004-4940297
NR1L-DIAG-133	SWE1-Diagnostics-108	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940306
NR1L-DIAG-133	SWE1-Diagnostics-108	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940306
NR1L-DIAG-134	SWE1-Diagnostics-056	expected_result	<Radio Audio Output Settings byte>	DR-DIAG-5	CFTS004-4939642
NR1L-DIAG-135	SWE1-Diagnostics-064	test_procedure	<fade control step = 9 front>	DR-DIAG-4	CFTS004-4940326
NR1L-DIAG-135	SWE1-Diagnostics-064	expected_result	<fade control step byte>	DR-DIAG-5	CFTS004-4940326
NR1L-DIAG-136	SWE1-Diagnostics-064	test_procedure	<fade control step = 9 rear>	DR-DIAG-4	CFTS004-4940326
NR1L-DIAG-136	SWE1-Diagnostics-064	expected_result	<fade control step byte>	DR-DIAG-5	CFTS004-4940326
NR1L-DIAG-137	SWE1-Diagnostics-064	test_procedure	<fade control step = 10 front>	DR-DIAG-4	CFTS004-4940326
NR1L-DIAG-138	SWE1-Diagnostics-064	test_procedure	<fade control step = 10 rear>	DR-DIAG-4	CFTS004-4940326
NR1L-DIAG-139	SWE1-Diagnostics-065	test_procedure	<fade control step value>	DR-DIAG-4	CFTS004-4940325
NR1L-DIAG-139	SWE1-Diagnostics-065	expected_result	<fade control step byte>	DR-DIAG-5	CFTS004-4940325
NR1L-DIAG-140	SWE1-Diagnostics-066	test_procedure	<balance control step = 9 left>	DR-DIAG-4	CFTS004-4940322
NR1L-DIAG-140	SWE1-Diagnostics-066	expected_result	<balance control step byte>	DR-DIAG-5	CFTS004-4940322
NR1L-DIAG-141	SWE1-Diagnostics-066	test_procedure	<balance control step = 9 right>	DR-DIAG-4	CFTS004-4940322
NR1L-DIAG-141	SWE1-Diagnostics-066	expected_result	<balance control step byte>	DR-DIAG-5	CFTS004-4940322
NR1L-DIAG-142	SWE1-Diagnostics-066	test_procedure	<balance control step = 10 left>	DR-DIAG-4	CFTS004-4940322
NR1L-DIAG-143	SWE1-Diagnostics-066	test_procedure	<balance control step = 10 right>	DR-DIAG-4	CFTS004-4940322
NR1L-DIAG-144	SWE1-Diagnostics-067	test_procedure	<balance control step value>	DR-DIAG-4	CFTS004-4940321
NR1L-DIAG-144	SWE1-Diagnostics-067	expected_result	<balance control step byte>	DR-DIAG-5	CFTS004-4940321
NR1L-DIAG-145	SWE1-Diagnostics-068	test_procedure	<treble tone control step = -9>	DR-DIAG-4	CFTS004-4940318
NR1L-DIAG-145	SWE1-Diagnostics-068	expected_result	<treble tone control step byte>	DR-DIAG-5	CFTS004-4940318
NR1L-DIAG-146	SWE1-Diagnostics-068	test_procedure	<treble tone control step = +9>	DR-DIAG-4	CFTS004-4940318
NR1L-DIAG-146	SWE1-Diagnostics-068	expected_result	<treble tone control step byte>	DR-DIAG-5	CFTS004-4940318
NR1L-DIAG-147	SWE1-Diagnostics-069	test_procedure	<treble tone control step value>	DR-DIAG-4	CFTS004-4940317
NR1L-DIAG-147	SWE1-Diagnostics-069	expected_result	<treble tone control step byte>	DR-DIAG-5	CFTS004-4940317
NR1L-DIAG-148	SWE1-Diagnostics-070	test_procedure	<treble tone control step value>	DR-DIAG-4	CFTS004-4940316
NR1L-DIAG-148	SWE1-Diagnostics-070	expected_result	<treble tone control step byte>	DR-DIAG-5	CFTS004-4940316
NR1L-DIAG-151	SWE1-Diagnostics-072	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940316
NR1L-DIAG-151	SWE1-Diagnostics-072	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940316
NR1L-DIAG-152	SWE1-Diagnostics-073	test_procedure	<bass tone control step = -9>	DR-DIAG-4	CFTS004-4940314
NR1L-DIAG-152	SWE1-Diagnostics-073	expected_result	<bass tone control step byte>	DR-DIAG-5	CFTS004-4940314
NR1L-DIAG-153	SWE1-Diagnostics-073	test_procedure	<bass tone control step = +9>	DR-DIAG-4	CFTS004-4940314
NR1L-DIAG-153	SWE1-Diagnostics-073	expected_result	<bass tone control step byte>	DR-DIAG-5	CFTS004-4940314
NR1L-DIAG-156	SWE1-Diagnostics-075	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940314
NR1L-DIAG-156	SWE1-Diagnostics-075	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940314
NR1L-DIAG-157	SWE1-Diagnostics-076	test_procedure	<bass tone control step value>	DR-DIAG-4	CFTS004-4940313
NR1L-DIAG-157	SWE1-Diagnostics-076	expected_result	<bass tone control step byte>	DR-DIAG-5	CFTS004-4940313
NR1L-DIAG-160	SWE1-Diagnostics-078	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940313
NR1L-DIAG-160	SWE1-Diagnostics-078	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940313
NR1L-DIAG-161	SWE1-Diagnostics-079	test_procedure	<bass tone control step value>	DR-DIAG-4	CFTS004-4940312
NR1L-DIAG-161	SWE1-Diagnostics-079	expected_result	<bass tone control step byte>	DR-DIAG-5	CFTS004-4940312
NR1L-DIAG-164	SWE1-Diagnostics-081	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940312
NR1L-DIAG-164	SWE1-Diagnostics-081	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940312
NR1L-DIAG-165	SWE1-Diagnostics-082	test_procedure	<volume step = 0>	DR-DIAG-4	CFTS004-4940310
NR1L-DIAG-165	SWE1-Diagnostics-082	expected_result	<volume step byte>	DR-DIAG-5	CFTS004-4940310
NR1L-DIAG-166	SWE1-Diagnostics-082	test_procedure	<volume step = 38>	DR-DIAG-4	CFTS004-4940310
NR1L-DIAG-166	SWE1-Diagnostics-082	expected_result	<volume step byte>	DR-DIAG-5	CFTS004-4940310
NR1L-DIAG-169	SWE1-Diagnostics-084	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940310
NR1L-DIAG-169	SWE1-Diagnostics-084	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940310
NR1L-DIAG-170	SWE1-Diagnostics-085	test_procedure	<volume step value>	DR-DIAG-4	CFTS004-4940309
NR1L-DIAG-170	SWE1-Diagnostics-085	expected_result	<volume step byte>	DR-DIAG-5	CFTS004-4940309
NR1L-DIAG-173	SWE1-Diagnostics-087	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940309
NR1L-DIAG-173	SWE1-Diagnostics-087	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940309
NR1L-DIAG-174	SWE1-Diagnostics-088	test_procedure	<volume step value>	DR-DIAG-4	CFTS004-4940308
NR1L-DIAG-174	SWE1-Diagnostics-088	expected_result	<volume step byte>	DR-DIAG-5	CFTS004-4940308
NR1L-DIAG-177	SWE1-Diagnostics-090	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940308
NR1L-DIAG-177	SWE1-Diagnostics-090	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940308
NR1L-DIAG-178	SWE1-Diagnostics-013	expected_result	<currently tuned SDAR channel number byte>	DR-DIAG-5	CFTS004-4939959
NR1L-DIAG-180	SWE1-Diagnostics-014	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939959
NR1L-DIAG-181	SWE1-Diagnostics-015	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939959
NR1L-DIAG-181	SWE1-Diagnostics-015	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939959
NR1L-DIAG-182	SWE1-Diagnostics-016	expected_result	<frequency step of the currently tuned station byte>	DR-DIAG-5	CFTS004-4939949
NR1L-DIAG-184	SWE1-Diagnostics-017	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939949
NR1L-DIAG-185	SWE1-Diagnostics-018	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939949
NR1L-DIAG-185	SWE1-Diagnostics-018	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939949
NR1L-DIAG-186	SWE1-Diagnostics-019	expected_result	<seek status byte>	DR-DIAG-5	CFTS004-4939946
NR1L-DIAG-188	SWE1-Diagnostics-020	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939946
NR1L-DIAG-189	SWE1-Diagnostics-021	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939946
NR1L-DIAG-189	SWE1-Diagnostics-021	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939946
NR1L-DIAG-190	SWE1-Diagnostics-031	test_procedure	<SDAR station selection value>	DR-DIAG-4	CFTS004-4940351
NR1L-DIAG-190	SWE1-Diagnostics-031	expected_result	<SDAR station selection byte>	DR-DIAG-5	CFTS004-4940351
NR1L-DIAG-193	SWE1-Diagnostics-033	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940351
NR1L-DIAG-193	SWE1-Diagnostics-033	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940351
NR1L-DIAG-194	SWE1-Diagnostics-034	test_procedure	<invalid station number>	DR-DIAG-4	CFTS004-4940351
NR1L-DIAG-195	SWE1-Diagnostics-035	test_procedure	<tuned frequency value>	DR-DIAG-4	CFTS004-4940337
NR1L-DIAG-195	SWE1-Diagnostics-035	expected_result	<tuned frequency byte>	DR-DIAG-5	CFTS004-4940337
NR1L-DIAG-198	SWE1-Diagnostics-037	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940337
NR1L-DIAG-198	SWE1-Diagnostics-037	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940337
NR1L-DIAG-199	SWE1-Diagnostics-038	test_procedure	<seek status value>	DR-DIAG-4	CFTS004-4940334
NR1L-DIAG-199	SWE1-Diagnostics-038	expected_result	<seek status byte>	DR-DIAG-5	CFTS004-4940334
NR1L-DIAG-202	SWE1-Diagnostics-040	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940334
NR1L-DIAG-202	SWE1-Diagnostics-040	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940334
NR1L-DIAG-203	SWE1-Diagnostics-041	test_procedure	<seek status value>	DR-DIAG-4	CFTS004-4940333
NR1L-DIAG-203	SWE1-Diagnostics-041	expected_result	<seek status byte>	DR-DIAG-5	CFTS004-4940333
NR1L-DIAG-206	SWE1-Diagnostics-043	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940333
NR1L-DIAG-206	SWE1-Diagnostics-043	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940333
NR1L-DIAG-207	SWE1-Diagnostics-044	expected_result	<Mode 2 Entertainment audio source byte>	DR-DIAG-5	CFTS004-4939952
NR1L-DIAG-209	SWE1-Diagnostics-045	test_procedure	<unsupported DID>	DR-DIAG-6	CFTS004-4939952
NR1L-DIAG-210	SWE1-Diagnostics-046	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4939952
NR1L-DIAG-210	SWE1-Diagnostics-046	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4939952
NR1L-DIAG-211	SWE1-Diagnostics-058	test_procedure	<Mode 2 Entertainment audio source selection value>	DR-DIAG-4	CFTS004-4940342
NR1L-DIAG-211	SWE1-Diagnostics-058	expected_result	<Mode 2 Entertainment audio source selection byte>	DR-DIAG-5	CFTS004-4940342
NR1L-DIAG-214	SWE1-Diagnostics-060	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940342
NR1L-DIAG-214	SWE1-Diagnostics-060	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940342
NR1L-DIAG-215	SWE1-Diagnostics-061	test_procedure	<Mode 1 Information audio source selection value>	DR-DIAG-4	CFTS004-4940341
NR1L-DIAG-215	SWE1-Diagnostics-061	expected_result	<Mode 1 Information audio source selection byte>	DR-DIAG-5	CFTS004-4940341
NR1L-DIAG-218	SWE1-Diagnostics-063	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940341
NR1L-DIAG-218	SWE1-Diagnostics-063	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940341
NR1L-DIAG-219	SWE1-Diagnostics-007	test_procedure	<enable in-motion menu>	DR-DIAG-4	CFTS004-4940346
NR1L-DIAG-219	SWE1-Diagnostics-007	expected_result	<in-motion menu status byte>	DR-DIAG-5	CFTS004-4940346
NR1L-DIAG-222	SWE1-Diagnostics-009	test_procedure	<unsupported SID>	DR-DIAG-6	CFTS004-4940346
NR1L-DIAG-222	SWE1-Diagnostics-009	expected_result	<unsupported SID>	DR-DIAG-6	CFTS004-4940346
NR1L-DIAG-223	SWE1-Diagnostics-010	test_procedure	<enable in-motion menu>	DR-DIAG-4	CFTS004-4940346
NR1L-DIAG-223	SWE1-Diagnostics-010	test_procedure	<disable in-motion menu>	DR-DIAG-4	CFTS004-4940346
NR1L-DIAG-223	SWE1-Diagnostics-010	expected_result	<in-motion menu status byte>	DR-DIAG-5	CFTS004-4940346
NR1L-DIAG-226	SWE1-Diagnostics-012	test_procedure	<enable in-motion menu>	DR-DIAG-4	CFTS004-4940346
NR1L-DIAG-227	SWE1-Diagnostics-336	test_procedure	<video input selection>	DR-DIAG-4	CFTS004-4940358
NR1L-DIAG-228	SWE1-Diagnostics-337	test_procedure	<normal operation>	DR-DIAG-4	CFTS004-4940358
